codigoEE,codigoIM,direccion
MA0101,MA0101,1
CI0205,,0
MA1102,MA1102,1
FI1101,FI1101,1
FI2201,FI220,1
QU1902,QU1902,1
CI1106,CI1106,1
EE0107,MI2101,1
EE0108,,0
MA1103,MA1103,1
FI1102,FI1102,1
FI1202,FI1202,
CA2026,,0
CI1107,CI1107,1
EE0207,MI2106,1
CS2303,CS2303,1
CS1502,CS1502,1
MA2105,MA2105,1
FI2103,FI2103,1
EE0303,MI2205,1
EE0304,MI2202,1
EE0305,,0
EE0307,MI3117,1
CS3404,CS3404,1
SE1100,SE1100,1
MA2104,MA2104,1
CM3207,CM3207,1
EE0403,MI2207,1
EE0404,MI2204,1
EE0405,,0
EE0407,MI3130,1
CS4402,CS4402,1
SE1200,SE120,1
AE4208,AE4208,1
PI0502,PI2609,1
EE0503,MI3209;MI4209,0
EE0504,,0
ME2208,ME3208;ME3209,0
EE0507,MI3103,1
EE0508,MI3104,1
CI3202,CI1230;CI1231,1
EE0602,,0
EE0604,MI3209;MI4209,
EE0605,MI3115,1
CM4108,CM4108,1
EE0607,MI3108,1
EE0608,,
EE0609,,
EE0701,,
EE0702,,
EE0703,,
EE0704,,
EE0705,,
EE0706,,
EE0707,,
EE0708,,
EE0802,,
EE0803,,
EE0804,,
EE0805,,
SE1400,,
EE4801,,
EE4806,,
EE4807,,
EE4808,,
EE4901,,
EE4903,,
EE4904,,
EE1101,,
EE4906,,
EE4907,,
EE4908,,
EE4909,,
EE5003,,
EE1103,,
EE1104,,
EE1102,,
EE5006,,
EE5007,,
EE5201,,
EE5202,,
EE5203,,
EE6901,,
EE6801,,
EE6902,,
EE8907,,
EE8807,,
EE8903,,
EE6801,,
EE0806,,
EE6807,,
EE6808,,
EE6901,,
EE6902,,
EE6903,,
EE1101,,
EE6906,,
EE6908,,
EE7001,,
EE7002,,
EE7003,,
EE1102,,
EE1103,,
EE1104,,
EE7201,,
EE7202,,
EE7203,,
EE5006,,
EE4806,,
EE5003,,
EE8907,,
EE8807,,
EE8903,,
EE8104,,
EE0806,,
EE8807,,
EE8808,,
EE8901,,
EE0902,,
EE8903,,
EE1101,,
EE8906,,
EE8907,,
EE9001,,
EE9002,,
EE1102,,
EE9007,,
EE1103,,
EE1104,,
EE9201,,
EE9202,,
EE9302,,
EE6901,,
EE6801,,
EE6902,,
EE5006,,
EE4806,,
EE5003,,
EE1501,,
